,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature dpEX,8.682645797729492,13.41968822479248,12.067327499389648,8.317009925842285,7.998642444610596,8.900337219238281,6.882516860961914,8.64975357055664,0,10.17232608795166,8.01079273223877,8.99367904663086,10.47208309173584,12.520127296447754,8.901237487792969,10.32652473449707,9.374441146850586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL4,7.325738906860352,12.385902404785156,11.825556755065918,7.296811580657959,6.320713520050049,7.742765426635742,5.59715461730957,7.881487846374512,0,8.752805709838867,6.923097610473633,6.126089572906494,8.590951919555664,11.733553886413574,7.275321960449219,9.418283462524414,9.123809814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature DMIN,6.128382682800293,9.848881721496582,8.573620796203613,5.76102876663208,5.2103142738342285,5.820276260375977,5.297048568725586,5.715093612670898,0,6.903715133666992,5.810823917388916,6.03271484375,6.957544803619385,9.291024208068848,5.216232776641846,7.304102897644043,6.823363780975342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wntEGC,9.095519065856934,15.677826881408691,15.162038803100586,8.835992813110352,8.107754707336426,9.773173332214355,6.882434368133545,9.784167289733887,0,10.68964958190918,9.063389778137207,8.02744197845459,10.399682998657227,15.066781044006348,9.434504508972168,11.619745254516602,10.935136795043945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sfrpEGC,7.598380088806152,13.409850120544434,13.331360816955566,7.6004204750061035,5.969973564147949,8.488035202026367,5.119369029998779,9.048322677612305,0,8.78731918334961,7.462815761566162,6.293035984039307,8.533053398132324,13.568487167358398,7.8094892501831055,10.018446922302246,9.915168762207031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature mpEX,9.222799301147461,15.339532852172852,13.752857208251953,8.94705581665039,8.062957763671875,9.794974327087402,7.484805107116699,9.65234375,0,11.011473655700684,8.83134651184082,9.806949615478516,11.449792861938477,13.983598709106445,10.011305809020996,10.963325500488281,9.96833324432373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL5,7.342679500579834,13.275633811950684,12.481871604919434,7.602981090545654,7.200892925262451,7.67793607711792,6.108551025390625,8.01980972290039,0,9.03044319152832,7.028604984283447,6.7742533683776855,8.863086700439453,11.315670013427734,8.340434074401855,8.99694538116455,8.822455406188965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nptxEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sstIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tlNBL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dpEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npyIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cckIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scgnIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ribEGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ntng1IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
